"GUEST_ID";"COUNTRY_GUEST";"GENDER_ID";"AGE_RANGE";"LAST_2_YEARS_STAYS";"CONFIRMED_RESERVATIONS";"NUM_DISTINCT_HOTELS";"CONFIRMED_RESERVATIONS_ADR";"AVG_LENGTH_STAY";"AVG_BOOKING_LEADTIME";"AVG_SCORE";"RESERVATION_ID";"CHECKIN_DATE";"CHECKOUT_DATE";"HOTEL_ID"
"1014907189";PT;Femenino;"36-45";2;2;2;109.24;3.50;6.00;8.0;1;2024-12-01;2024-12-06;"041"
"1018922044";IT;Femenino;"19-25";1;1;1;226.49;4.00;22.00;7.0;2;2026-01-01;2026-01-05;"011"
"1016865415";IT;Masculino;"19-25";1;1;1;310.45;2.00;8.00;8.0;3;2025-05-31;2025-06-02;"026"
"1018327847";IT;Femenino;"36-45";1;1;1;340.20;3.00;11.00;9.0;4;2025-10-24;2025-10-27;"243"
"1013580011";PT;Femenino;"36-45";2;2;2;169.16;1.00;37.50;8.0;5;2024-04-30;2024-05-01;"011"
"1014419889";PT;Femenino;"36-45";1;1;1;184.76;3.00;5.00;7.0;6;2024-08-09;2024-08-12;"243"
"1017584158";IT;Femenino;"26-35";1;1;1;103.87;1.00;8.00;7.0;7;2025-08-11;2025-08-12;"011"
"1008922782";ES;Masculino;"19-25";1;2;2;135.42;1.50;15.00;5.0;8;2025-05-30;2025-05-31;"255"
"1004674619";ES;Femenino;"19-25";3;5;2;273.37;1.00;7.20;7.0;9;2025-12-06;2025-12-07;"281"
"1002066717";ES;Masculino;>65;1;5;1;260.95;1.00;6.80;7.0;10;2023-12-09;2023-12-10;"243"
"1013700087";ES;Masculino;>65;1;1;1;187.30;2.00;12.00;7.0;11;2024-05-26;2024-05-28;"208"
"1016486255";PT;Femenino;"26-35";1;1;1;166.58;10.00;38.00;6.0;12;2025-04-20;2025-04-30;"255"
"1019003850";IT;Masculino;"36-45";1;1;1;123.56;1.00;5.00;1.0;13;2026-01-11;2026-01-12;"011"
"1019380354";ES;Masculino;"36-45";1;1;1;472.33;1.00;2.00;10.0;14;2026-02-28;2026-03-01;"243"
"1010619685";ES;Femenino;"46-65";1;2;2;406.46;3.00;59.00;4.0;15;2025-04-22;2025-04-26;"041"
"1019013464";IT;Femenino;"36-45";1;1;1;292.23;3.00;59.00;8.0;16;2026-03-13;2026-03-16;"247"
"1015873048";PT;Femenino;"26-35";1;1;1;94.17;4.00;65.00;7.0;17;2025-02-03;2025-02-07;"026"
"1015267928";ES;Femenino;"19-25";1;1;1;126.42;1.00;64.00;8.0;18;2025-01-10;2025-01-11;"243"
"1018854169";IT;Femenino;"19-25";1;1;1;225.47;2.00;30.00;8.0;19;2025-12-26;2025-12-28;"026"
"1017897456";PT;Femenino;"36-45";1;1;1;242.68;4.00;70.00;10.0;20;2025-09-10;2025-09-14;"041"
"1019408431";PT;Femenino;"36-45";1;1;1;466.42;1.00;1.00;5.0;21;2026-03-04;2026-03-05;"247"
"1018801904";PT;Masculino;"46-65";1;1;1;119.70;7.00;60.00;4.0;22;2025-12-19;2025-12-26;"315"
"1016315019";PT;Masculino;"36-45";1;1;1;422.88;2.00;57.00;9.0;23;2025-05-30;2025-06-01;"011"
"1004674619";ES;Femenino;"19-25";3;5;2;273.37;1.00;7.20;7.0;24;2025-11-15;2025-11-16;"243"
"1019202900";ES;Masculino;"19-25";1;1;1;240.60;1.00;6.00;8.0;25;2026-02-13;2026-02-14;"243"
"1018449824";PT;Masculino;>65;1;1;1;505.59;4.00;51.00;8.0;26;2025-12-30;2026-01-03;"243"
"1013616575";ES;Femenino;"19-25";1;1;1;309.15;1.00;3.00;5.0;27;2024-05-04;2024-05-05;"243"
"1014534690";ES;Masculino;>65;1;1;1;315.13;2.00;10.00;9.0;28;2024-08-15;2024-08-17;"208"
"1017486911";IT;Masculino;"36-45";1;1;1;88.00;2.00;85.00;9.0;29;2025-08-03;2025-08-05;"011"
"1018436365";PT;Masculino;>65;1;1;1;228.04;2.00;93.00;9.5;30;2025-11-05;2025-11-07;"315"
"1015587355";ES;Masculino;"46-65";1;1;1;153.90;2.00;2.00;8.0;31;2024-12-26;2024-12-28;"255"
"1015647249";PT;Femenino;"46-65";1;1;1;344.61;2.00;3.00;7.0;32;2024-12-31;2025-01-02;"315"
"1018770623";PT;Femenino;"36-45";1;1;1;122.30;3.00;30.00;10.0;33;2025-12-15;2025-12-18;"315"
"1015853478";ES;Femenino;"19-25";1;1;1;242.00;2.00;20.00;8.0;34;2025-01-31;2025-02-02;"011"
"1017352380";PT;Femenino;"26-35";1;1;1;134.10;3.00;28.00;8.0;35;2025-08-18;2025-08-21;"255"
"1007094314";PT;Femenino;"19-25";1;2;1;151.37;1.50;5.50;6.0;36;2024-04-28;2024-04-29;"243"
"1015940055";ES;Masculino;"46-65";1;1;1;167.84;4.00;38.00;9.5;37;2025-02-13;2025-02-17;"281"
"1015702788";IT;Femenino;"46-65";1;1;1;154.53;3.00;44.00;9.0;38;2025-01-08;2025-01-11;"231"
"1016075127";PT;Femenino;>65;2;2;1;136.50;2.00;63.00;6.0;39;2025-03-02;2025-03-05;"041"
"1017382324";PT;Femenino;"19-25";1;1;1;130.50;2.00;49.00;7.0;40;2025-07-24;2025-07-26;"011"
"1018982655";ES;Masculino;"46-65";1;1;1;185.00;1.00;1.00;10.0;41;2026-01-08;2026-01-09;"243"
"1010221099";ES;Masculino;"26-35";1;2;2;140.31;2.00;15.00;9.5;42;2023-02-04;2023-02-06;"281"
"1019673879";ES;Femenino;"26-35";1;1;1;268.26;2.00;70.00;7.0;43;2026-04-02;2026-04-04;"281"
"1015950321";PT;Femenino;"19-25";1;1;1;165.91;1.00;81.00;6.0;44;2025-02-14;2025-02-15;"315"
"1017500387";ES;Masculino;"36-45";1;1;1;265.86;3.00;6.00;8.0;45;2025-08-04;2025-08-07;"315"
"1006174937";ES;Masculino;"36-45";1;2;2;135.75;3.50;8.00;9.0;46;2024-09-01;2024-09-06;"026"
"1019094169";PT;Masculino;"46-65";1;1;1;110.09;3.00;47.00;10.0;47;2026-01-24;2026-01-27;"026"
"1014768582";ES;Femenino;"46-65";1;1;1;166.33;3.00;3.00;7.0;48;2024-09-09;2024-09-12;"208"
"1013471617";PT;Masculino;"26-35";1;1;1;207.00;2.00;20.00;8.0;49;2024-08-22;2024-08-24;"011"
"1007899011";ES;Masculino;"26-35";1;2;2;198.62;1.00;9.00;8.0;50;2022-02-27;2022-02-28;"243"
"1007899014";ES;Femenino;"26-35";1;2;2;198.62;1.00;9.00;8.0;51;2022-02-27;2022-02-28;"243"
"1014974075";IT;Femenino;"46-65";1;3;2;187.48;1.33;15.33;6.0;52;2024-12-17;2024-12-18;"041"
"1014618023";IT;Masculino;"19-25";1;1;1;255.19;2.00;56.00;3.0;53;2024-08-23;2024-08-25;"247"
"1018115558";IT;Femenino;"46-65";1;1;1;296.49;2.00;33.00;9.0;54;2025-10-02;2025-10-04;"315"
"1001025656";ES;Masculino;"46-65";1;2;2;203.26;3.00;18.50;7.0;55;2018-03-15;2018-03-18;"231"
"1016530069";PT;Femenino;"26-35";1;1;1;317.86;1.00;12.00;7.0;56;2025-04-25;2025-04-26;"208"
"1016530109";PT;Femenino;"26-35";1;1;1;317.86;1.00;12.00;7.0;57;2025-04-25;2025-04-26;"208"
"1019671446";PT;Femenino;"19-25";1;1;1;297.73;5.00;6.00;9.0;58;2026-04-02;2026-04-07;"041"
"1017215394";ES;Femenino;"19-25";1;1;1;266.49;2.00;59.00;7.0;59;2025-07-07;2025-07-09;"041"
"1007899011";ES;Masculino;"26-35";1;2;2;198.62;1.00;9.00;8.0;60;2025-12-19;2025-12-20;"231"
"1007899014";ES;Femenino;"26-35";1;2;2;198.62;1.00;9.00;8.0;61;2025-12-19;2025-12-20;"231"
"1018218156";ES;Masculino;>65;2;2;1;170.20;2.00;26.00;9.0;62;2025-11-06;2025-11-08;"208"
"1019370402";IT;Masculino;"46-65";1;1;1;195.65;2.00;55.00;8.0;63;2026-02-27;2026-03-01;"011"
"1003752586";PT;Femenino;"46-65";1;2;1;181.20;1.50;1.00;8.0;64;2019-04-20;2019-04-22;"208"
"1017838744";PT;Masculino;"46-65";1;1;1;231.06;5.00;42.00;8.0;65;2025-09-04;2025-09-09;"041"
"1012706996";PT;Femenino;"46-65";3;4;2;244.23;3.75;111.25;8.5;66;2024-12-29;2025-01-02;"247"
"1013545260";IT;Femenino;"26-35";1;1;1;194.97;3.00;2.00;8.0;67;2024-04-26;2024-04-29;"315"
"1013584674";ES;Femenino;"19-25";1;1;1;262.88;1.00;10.00;2.0;68;2024-05-01;2024-05-02;"243"
"1009884845";ES;Masculino;"26-35";1;2;2;143.23;2.50;38.50;9.0;69;2025-12-05;2025-12-08;"315"
"1014395679";ES;Femenino;"46-65";4;4;1;75.15;1.50;0.75;5.0;70;2024-08-02;2024-08-05;"255"
"1013530969";PT;Femenino;"36-45";1;1;1;247.75;3.00;1.00;10.0;71;2024-04-25;2024-04-28;"255"
"1002050340";ES;Femenino;"36-45";1;2;2;151.06;3.50;3.00;9.0;72;2018-08-09;2018-08-13;"041"
"1017402306";ES;Masculino;"19-25";1;1;1;91.35;2.00;1.00;7.0;73;2025-07-25;2025-07-27;"255"
"1017658486";PT;Masculino;"46-65";1;1;1;137.60;2.00;1.00;7.0;74;2025-08-19;2025-08-21;"243"
"1016094371";IT;Femenino;"36-45";1;1;1;163.25;4.00;41.00;6.0;75;2025-03-05;2025-03-09;"243"
"1008189175";ES;Femenino;"46-65";1;3;1;244.30;2.33;42.00;7.9;76;2022-04-22;2022-04-25;"208"
"1015721200";ES;Masculino;"36-45";1;1;1;194.80;1.00;26.00;8.0;77;2025-01-11;2025-01-12;"243"
"1015428618";ES;Femenino;"26-35";1;1;1;235.50;1.00;23.00;10.0;78;2024-11-30;2024-12-01;"243"
"1018885005";IT;Femenino;"46-65";2;2;2;300.59;2.50;11.00;7.0;79;2025-12-30;2026-01-02;"247"
"1013308570";ES;Masculino;"26-35";1;2;2;306.02;2.50;40.50;9.7;80;2024-11-30;2024-12-01;"011"
"1012907995";ES;Masculino;"46-65";1;2;2;192.53;1.00;124.00;8.2;81;2024-01-31;2024-02-01;"011"
