"ID";"HOTEL_NAME";"COUNTRY_ID";"BRAND";"STARS";"NUM_ROOMS";"CITY_NAME";"CITY_CLIMATE";"CITY_AVG_TEMPERATURE";"CITY_RAIN_RISK";"CITY_BEACH_FLAG";"CITY_MOUNTAIN_FLAG";"CITY_HISTORICAL_HERITAGE";"CITY_PRICE_LEVEL";"CITY_GASTRONOMY"
"243";Eurostars Torre Sevilla;ES;EUROSTARS;"5";244;SEVILLA;MEDITERRANEAN;19.0;LOW;NO;NO;HIGH;HIGH;HIGH
"281";Aurea Catedral;ES;AUREA;"4";94;GRANADA;MEDITERRANEAN;15.0;MEDIUM;NO;YES;HIGH;HIGH;HIGH
"247";Aurea Museum;PT;AUREA;"5";91;LISBOA;MEDITERRANEAN;17.5;MEDIUM;YES;YES;HIGH;MEDIUM;HIGH
"315";Eurostars Aliados;PT;EUROSTARS;"5";149;OPORTO;ATLANTIC;15.0;HIGH;YES;NO;HIGH;MEDIUM;HIGH
"041";Exe International Palace;IT;EXE;"4";192;ROMA;MEDITERRANEAN;16.0;MEDIUM;NO;YES;HIGH;HIGH;HIGH
"026";Exe Domus Aurea;IT;EXE;"3";48;ROMA;MEDITERRANEAN;16.0;MEDIUM;NO;YES;HIGH;HIGH;HIGH
"255";Exe Madrid Norte;ES;EXE;"4";134;MADRID;CONTINENTAL;15.0;MEDIUM;NO;NO;HIGH;MEDIUM;HIGH
"208";Eurostars Isla de la Toja;ES;EUROSTARS;"4";104;EL GROVE;CONTINENTAL;14.5;MEDIUM;YES;NO;MEDIUM;MEDIUM;MEDIUM
"011";Eurostars Madrid Gran Vía;ES;EUROSTARS;"4";84;MADRID;CONTINENTAL;15.0;MEDIUM;NO;NO;HIGH;MEDIUM;HIGH
"231";Eurostars Sevilla Boutique;ES;EUROSTARS;"4";40;SEVILLA;MEDITERRANEAN;19.0;LOW;NO;NO;HIGH;HIGH;HIGH
